scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S2,0,B1,peak,166,34176235,44,9717852,0.265060,90,12,0,32,1675,327440872,904,180553009,0.539701,432,0,472,960,960,30,0,1,614,0,9.0,07a86fe85bf708ed071f3a7ec050dc2c1cabc8957547ea0b3ca47ae177d1625c
S2,0,B2,peak,166,34176235,49,10890518,0.295181,135,17,0,32,1675,327440872,901,181283329,0.537910,415,0,486,1200,801,30,0,1,564,0,9.0,07a86fe85bf708ed071f3a7ec050dc2c1cabc8957547ea0b3ca47ae177d1625c
S2,0,agent,peak,166,34176235,75,14498867,0.451807,26,7,49,19,1675,327440872,546,113014522,0.325970,7,49,490,28,18,0,0,1,2,0,9.0,07a86fe85bf708ed071f3a7ec050dc2c1cabc8957547ea0b3ca47ae177d1625c
S2,1,B0,peak,139,18637832,26,3422238,0.187050,0,0,0,26,1626,225295432,474,68269774,0.291513,0,0,474,0,0,0,0,1,0,0,7.0,310eb9c16f6b6c8c8a6bf42417aacd00650e8292e294eb610a2d2647a5a15374
S2,1,B1,peak,139,18637832,36,4677179,0.258993,80,10,0,26,1626,225295432,892,128700596,0.548585,450,0,442,950,950,39,0,1,572,0,7.0,310eb9c16f6b6c8c8a6bf42417aacd00650e8292e294eb610a2d2647a5a15374
S2,1,B2,peak,139,18637832,51,6500808,0.366906,131,25,0,26,1626,225295432,889,127842858,0.546740,433,0,456,1204,801,34,0,1,533,0,7.0,310eb9c16f6b6c8c8a6bf42417aacd00650e8292e294eb610a2d2647a5a15374
S2,1,agent,peak,139,18637832,74,9734181,0.532374,94,20,36,18,1626,225295432,527,75643540,0.324108,20,42,465,105,61,3,0,1,57,0,7.0,310eb9c16f6b6c8c8a6bf42417aacd00650e8292e294eb610a2d2647a5a15374
S2,2,B0,peak,149,32627889,22,5241441,0.147651,0,0,0,22,1590,335441992,521,114261145,0.327673,0,0,521,0,0,0,0,1,0,0,11.0,827b959c906c5868b1c4467578d4c3a53db2af0f62a593e9fbc9868eae055e7c
S2,2,B1,peak,149,32627889,41,9428452,0.275168,96,19,0,22,1590,335441992,925,201750077,0.581761,444,0,481,929,929,15,0,1,544,0,11.0,827b959c906c5868b1c4467578d4c3a53db2af0f62a593e9fbc9868eae055e7c
S2,2,B2,peak,149,32627889,55,12028988,0.369128,162,33,0,22,1590,335441992,934,204512419,0.587421,428,0,506,1133,755,19,0,1,495,0,11.0,827b959c906c5868b1c4467578d4c3a53db2af0f62a593e9fbc9868eae055e7c
S2,2,agent,peak,149,32627889,75,16478289,0.503356,45,13,49,13,1590,335441992,574,125497993,0.361006,13,49,512,49,32,2,0,1,3,0,11.0,827b959c906c5868b1c4467578d4c3a53db2af0f62a593e9fbc9868eae055e7c
S2,3,B0,peak,160,31192171,31,6147362,0.193750,0,0,0,31,1622,301774009,499,97254142,0.307645,0,0,499,0,0,0,0,1,0,0,8.0,5f82a86d8649d28a83dba5d6bbde2c2a405d454d585748b79cb1c9b48f1e6024
S2,3,B1,peak,160,31192171,46,9310715,0.287500,92,15,0,31,1622,301774009,928,175338090,0.572133,474,0,454,942,942,22,0,1,571,0,8.0,5f82a86d8649d28a83dba5d6bbde2c2a405d454d585748b79cb1c9b48f1e6024
S2,3,B2,peak,160,31192171,53,10445839,0.331250,144,22,0,31,1622,301774009,911,173506673,0.561652,431,0,480,1169,789,28,0,1,543,0,8.0,5f82a86d8649d28a83dba5d6bbde2c2a405d454d585748b79cb1c9b48f1e6024
